X,Y,COUNTY,CountyName,Permits 
-8677265.252,4176989.248,Duplin,,
-8676920.161,4165199.414,Duplin,,
-8673647.368,4149173.329,Duplin,,
-8668816.102,4171589.12,Duplin,,
-8703203.361,4132094.115,Duplin,,
-8692449.23,4148033.368,Duplin,,
-8671476.638,4149363.334,Duplin,,
-8658953.196,4135569.247,Duplin,,
-8671754.937,4164710.141,Duplin,,
-8667302.157,4143935.897,Duplin,,
-8678122.412,4181221.412,Duplin,,
-8666812.352,4164180.119,Duplin,,
-8681562.184,4170596.435,Duplin,,
-8660570.668,4145471.594,Duplin,,
-8674845.945,4135879.935,Duplin,,
-8662772.567,4130760.919,Duplin,,
-8684212.701,4177685.879,Duplin,,
-8681562.184,4174526.899,Duplin,,
-8659142.439,4128902.109,Duplin,,
-8663929.177,4131652.499,Duplin,,
-8658580.164,4128558.561,Duplin,,
-8655557.951,4127696.486,Duplin,,
-8665142.559,4133116.037,Duplin,,
-8660188.842,4137670.49,Duplin,,
-8653966.75,4130488.311,Duplin,,
-8652888.51,4131580.682,Duplin,,
-8652359.742,4131399.11,Duplin,,
-8656760.202,4130107.862,Duplin,,
-8660812.231,4158405.883,Duplin,,
-8651227.623,4161951.588,Duplin,,
-8660504.989,4132153.875,Duplin,,
-8655305.256,4125614.721,Duplin,,
-8660166.578,4129877.539,Duplin,,
-8659699.036,4130189.153,Duplin,,
-8659175.835,4132777.238,Duplin,,
-8694174.682,4134213.816,Duplin,,
-8648480.258,4151411.521,Duplin,,
-8647943.698,4151317.858,Duplin,,
-8685766.053,4174633.408,Duplin,,
-8673213.222,4163622.945,Duplin,,
-8661368.829,4162101.049,Duplin,,
-8659457.25,4164030.767,Duplin,,
-8658519.05,4160973.35,Duplin,,
-8658307.543,4160402.75,Duplin,,
-8657847.348,4164732.293,Duplin,,
-8657717.549,4161394.525,Duplin,,
-8656826.993,4164220.889,Duplin,,
-8662448.628,4154073.776,Duplin,,
-8654723.055,4148033.368,Duplin,,
-8680693.892,4171249.149,Duplin,,
-8694330.53,4157346.466,Duplin,,
-8693028.092,4159356.727,Duplin,,
-8693028.092,4159356.727,Duplin,,
-8691703.39,4133725.901,Duplin,,
-8690901.889,4158704.711,Duplin,,
-8689844.354,4185005.872,Duplin,,
-8688174.562,4183453.815,Duplin,,
-8684378.567,4189472.654,Duplin,,
-8683231.976,4188410.269,Duplin,,
-8681128.038,4175928.058,Duplin,,
-8677977.697,4161802.13,Duplin,,
-8677755.058,4179669.885,Duplin,,
-8675896.022,4176308.986,Duplin,,
-8675439.612,4181071.694,Duplin,,
-8671649.183,4181418.771,Duplin,,
-8650325.935,4142796.471,Duplin,,
-8661246.377,4147816.245,Duplin,,
-8648140.733,4138105.565,Duplin,,
-8647142.198,4138429.747,Duplin,,
-8674415.473,4138809.394,Duplin,,
-8678845.989,4141901.289,Duplin,,
-8672189.083,4163432.696,Duplin,,
-8671699.277,4164071.4,Duplin,,
-8687684.756,4178200.217,Duplin,,
-8690611.346,4140071.814,Duplin,,
